timestep,datetime,J,Q,DS,C_J,C_Q,ST_max,ST_min,shape,scale,C_Qm_1
0,8/16/10 11:05,70.51537241,70.51537241,519.6689759,29.26350137,28.7983,inf,848.8345661,1.436300241,1465.171266,28.8
1,8/16/10 11:06,70.48508769,70.51193442,519.8351133,143.7588081,28.7983,inf,848.8345661,1.436300241,1465.171266,28.8
2,8/16/10 11:07,70.12072701,70.46752363,520.4328872,363.6244493,28.89201613,inf,848.8345661,1.436300241,1465.171266,28.8
3,8/16/10 11:08,70.44266323,70.46470142,520.5571534,296.4915565,28.93187241,inf,848.8345661,1.436300241,1465.171266,28.8
4,8/16/10 11:09,70.12727205,70.42639564,521.3182997,199.36458,29.15338,inf,848.8345661,1.436300241,1465.171266,28.8
5,8/16/10 11:10,70.4010556,70.42351898,521.4292982,145.2806711,29.17316452,inf,848.8345661,1.436300241,1465.171266,28.8
6,8/16/10 11:11,70.06365755,70.38266666,522.0329827,109.1200456,29.18232069,inf,848.8345661,1.436300241,1465.171266,28.8
7,8/16/10 11:12,70.36170869,70.38028747,522.1201532,86.22274786,29.20440323,inf,848.8345661,1.436300241,1465.171266,28.8
8,8/16/10 11:13,70.10460041,70.34899082,522.9232366,68.96013792,29.23408,inf,848.8345661,1.436300241,1465.171266,28.8
9,8/16/10 11:14,70.32762308,70.3465651,523.0133201,57.85840232,29.21571379,inf,848.8345661,1.436300241,1465.171266,28.8
10,8/16/10 11:15,70.0180409,70.30927026,523.64317,49.9278911,29.25126129,inf,848.8345661,1.436300241,1465.171266,28.8
11,8/16/10 11:16,70.29147275,70.30724985,523.7200351,43.90857748,29.36598276,inf,848.8345661,1.436300241,1465.171266,28.8
12,8/16/10 11:17,70.08325522,70.28182145,524.5191966,40.72627369,29.96038,inf,848.8345661,1.436300241,1465.171266,28.8010747
13,8/16/10 11:18,70.26366302,70.27976006,524.5652759,37.39708254,30.79757742,inf,848.8345661,1.436300241,1465.171266,29.07207367
14,8/16/10 11:19,69.98109362,70.24585474,525.1539402,35.34845769,32.65520345,inf,848.8345661,1.436300241,1465.171266,30.9712744
15,8/16/10 11:20,70.23062982,70.24412637,525.1637958,34.04132212,36.49708,inf,848.8345661,1.436300241,1465.171266,35.38345621
16,8/16/10 11:21,70.06270737,70.22353126,525.8300986,33.24486195,40.38786129,inf,848.8345661,1.436300241,1465.171266,40.15325198
17,8/16/10 11:22,70.20798288,70.22176617,525.8383948,32.65360517,43.94207241,inf,848.8345661,1.436300241,1465.171266,44.17470464
18,8/16/10 11:23,69.95075583,70.19100044,526.4021545,32.12586322,46.92352,inf,848.8345661,1.436300241,1465.171266,47.34478581
19,8/16/10 11:24,70.17788241,70.18951125,526.4357178,31.76192603,49.58766129,inf,848.8345661,1.436300241,1465.171266,49.73382467
20,8/16/10 11:25,70.04283935,70.17286071,527.0676927,31.26654872,51.77275517,inf,848.8345661,1.436300241,1465.171266,51.4683624
21,8/16/10 11:26,70.1594501,70.17133831,527.1306022,31.18728835,53.16449355,inf,848.8345661,1.436300241,1465.171266,52.64878688
22,8/16/10 11:27,69.8812378,70.13840541,527.7113083,30.72757822,53.94442,inf,848.8345661,1.436300241,1465.171266,53.38534759
23,8/16/10 11:28,70.08719031,70.13259135,527.7536065,30.61265068,54.32732759,inf,848.8345661,1.436300241,1465.171266,53.76765834
24,8/16/10 11:29,69.94551662,70.11135419,528.3139936,30.57557729,54.4609,inf,848.8345661,1.436300241,1465.171266,53.8717854
25,8/16/10 11:30,70.0579676,70.10529362,528.3425657,30.09745829,54.47759655,inf,848.8345661,1.436300241,1465.171266,53.76593421
26,8/16/10 11:31,69.8224094,70.07317993,528.8680182,30.03801301,54.26722,inf,848.8345661,1.436300241,1465.171266,53.49400717
27,8/16/10 11:32,70.02573553,70.06779393,528.8796309,30.03801301,53.89860323,inf,848.8345661,1.436300241,1465.171266,53.09821064
28,8/16/10 11:33,69.86303533,70.04454926,529.3237389,30.03801301,53.44241034,inf,848.8345661,1.436300241,1465.171266,52.61378153
29,8/16/10 11:34,69.99527331,70.03895533,529.3214109,29.73153959,52.83076,inf,848.8345661,1.436300241,1465.171266,52.06818717
30,8/16/10 11:35,69.76012368,70.00730171,529.7805258,29.46337534,51.97742258,inf,848.8345661,1.436300241,1465.171266,51.48182436
31,8/16/10 11:36,69.96331728,70.00230849,529.7652802,29.46337534,51.23846552,inf,848.8345661,1.436300241,1465.171266,50.86949662
32,8/16/10 11:37,69.77919646,69.97698029,530.0829575,29.46337534,50.37748,inf,848.8345661,1.436300241,1465.171266,50.24258794
33,8/16/10 11:38,69.93146024,69.97181275,530.0661674,29.46337534,49.71261613,inf,848.8345661,1.436300241,1465.171266,49.60902721
34,8/16/10 11:39,69.69495645,69.94038337,530.4704405,29.46337534,48.96773448,inf,848.8345661,1.436300241,1465.171266,48.97738919
35,8/16/10 11:40,69.89959461,69.93575293,530.4542113,29.46337534,48.38497097,inf,848.8345661,1.436300241,1465.171266,48.35058655
36,8/16/10 11:41,69.69610966,69.90854806,530.6674698,29.46337534,47.58526,inf,848.8345661,1.436300241,1465.171266,47.73386143
37,8/16/10 11:42,69.86647736,69.9037721,530.6499739,29.46337534,46.96414828,inf,848.8345661,1.436300241,1465.171266,47.13082038
38,8/16/10 11:43,69.62778207,69.87244106,531.0048493,29.46337534,46.44817097,inf,848.8345661,1.436300241,1465.171266,46.54010645
39,8/16/10 11:44,69.83461477,69.86814693,530.9880637,29.46337534,45.92284,inf,848.8345661,1.436300241,1465.171266,45.96552328
40,8/16/10 11:45,69.61534623,69.8394484,531.1088871,29.46337534,45.37797586,inf,848.8345661,1.436300241,1465.171266,45.40902652
41,8/16/10 11:46,69.80055455,69.83503308,531.0910804,29.46337534,44.9487129,inf,848.8345661,1.436300241,1465.171266,44.87150557
42,8/16/10 11:47,69.55957455,69.80376237,531.3978189,29.46337534,44.2593069,inf,848.8345661,1.436300241,1465.171266,44.35021447
43,8/16/10 11:48,69.76868654,69.79978048,531.3808251,29.25267486,43.8085,inf,848.8345661,1.436300241,1465.171266,43.84488245
44,8/16/10 11:49,69.53794965,69.77005683,531.4223824,29.09264136,43.46487419,inf,848.8345661,1.436300241,1465.171266,43.3570418
45,8/16/10 11:50,69.73409246,69.76597407,531.4045782,29.14633387,43.05715517,inf,848.8345661,1.436300241,1465.171266,42.88765653
46,8/16/10 11:51,69.4912744,69.73478952,531.6655229,28.94620144,42.53344,inf,848.8345661,1.436300241,1465.171266,42.43640214
47,8/16/10 11:52,69.67112625,69.72756231,531.6432572,28.88873767,41.93417742,inf,848.8345661,1.436300241,1465.171266,42.00336461
48,8/16/10 11:53,69.41954512,69.69259547,531.6058183,28.88873767,41.45428621,inf,848.8345661,1.436300241,1465.171266,41.58781063
49,8/16/10 11:54,69.62701868,69.68515104,531.5719544,28.88873767,41.08084,inf,848.8345661,1.436300241,1465.171266,41.18947135
50,8/16/10 11:55,69.371856,69.64958505,531.7666137,28.88873767,40.60653226,inf,848.8345661,1.436300241,1465.171266,40.80743991
51,8/16/10 11:56,69.58968566,69.64278513,531.7249979,28.88873767,40.40240345,inf,848.8345661,1.436300241,1465.171266,40.44140983
52,8/16/10 11:57,69.30997709,69.60500398,531.6142959,28.88873767,39.9349,inf,848.8345661,1.436300241,1465.171266,40.09047123
53,8/16/10 11:58,69.54346064,69.59801743,531.5920431,28.88873767,39.57982,inf,848.8345661,1.436300241,1465.171266,39.75429643
54,8/16/10 11:59,69.27765188,69.56164878,531.7693241,28.88873767,39.38391379,inf,848.8345661,1.436300241,1465.171266,39.43188835
55,8/16/10 12:00,69.50530219,69.55525218,531.7676362,28.88873767,38.9665,inf,848.8345661,1.436300241,1465.171266,39.12267672
56,8/16/10 12:01,69.20225387,69.51517898,531.6573445,28.88873767,38.69935517,inf,848.8345661,1.436300241,1465.171266,38.82384594
