timestep,datetime,J,C_J,Delta S,Q,Q_2,Q date_time,C_Qo_1,Q Si mg/l,ST_min,ST_min_2,ST_max,ST_max_2,scale,shape,C_Qo_1,Q Si mg/l
0,5/3/83,0.25,1.2,2.407416242,3.404765363,2.010907011,5/10/83 12:00,,,0,0,inf,737,8215,0.53,6.6,1.5
1,5/4/83,0,0,0.115511906,3.032748603,1.577586789,5/10/83 12:00,,,0,0,inf,737,8215,0.53,6.6,1.5
2,5/5/83,6.25,1.2,-0.564680198,2.954061453,0.540968638,5/10/83 12:00,,,0,0,inf,737,8215,0.53,6.6,1.5
3,5/6/83,11.75,1.2,4.410942242,3.821581006,1.01422256,5/10/83 12:00,,,0,0,inf,737,8215,0.53,6.6,1.5
4,5/7/83,11.25,1.2,9.448578793,5.064662011,0.609744326,5/10/83 12:00,,,0,0,inf,737,8215,0.53,6.6,1.5
5,5/8/83,1.25,1.2,7.802485434,4.551812849,0.936832759,5/10/83 12:00,,,0,0,inf,737,8215,0.53,6.6,1.5
6,5/9/83,11.83730762,1.2,11.00650721,5.523888268,1.074861968,5/10/83 12:00,,,0,0,inf,737,8215,0.53,6.6,1.5
7,5/10/83,8.856565245,1.2,13.40292502,6.226918994,0.610952753,5/10/83 12:00,6.60,1.50,0,0,inf,737,8215,0.53,6.6,1.5
8,5/11/83,9.52474636,9.5,14.43209196,6.748290503,1.314044322,5/16/83 12:00,,,0,0,inf,737,8215,0.53,,1.5
9,5/12/83,6.039389425,9.5,12.62780752,6.048150838,1.331325654,5/16/83 12:00,,,0,0,inf,737,8215,0.53,,1.5
10,5/13/83,7.32013184,9.5,14.81135177,6.891234637,1.274318941,5/16/83 12:00,,,0,0,inf,737,8215,0.53,,1.5
11,5/14/83,6.89189156,9.5,12.15951034,5.877351955,1.705328641,5/16/83 12:00,,,0,0,inf,737,8215,0.53,,1.5
12,5/15/83,2.726206805,9.5,8.965427156,4.875863128,1.373773818,5/16/83 12:00,,,0,0,inf,737,8215,0.53,,1.5
13,5/16/83,5.30081335,9.5,6.506658648,4.267005587,1.075126311,5/16/83 12:00,0.00,1.50,0,0,inf,737,8215,0.53,,1.5
14,5/17/83,8.023416695,5.3,5.236466,4.040924581,1.401442511,5/25/83 12:00,,,0,0,inf,737,8215,0.53,6.1,1.7
15,5/18/83,0.49600682,5.3,6.04749343,4.052589385,1.622154875,5/25/83 12:00,,,0,0,inf,737,8215,0.53,6.1,1.7
16,5/19/83,3.70008731,5.3,2.691740441,3.48747486,1.186134019,5/25/83 12:00,,,0,0,inf,737,8215,0.53,6.1,1.7
17,5/20/83,4.974597855,5.3,2.588820092,3.451776536,1.333948185,5/25/83 12:00,,,0,0,inf,737,8215,0.53,6.1,1.7
18,5/21/83,3.708572615,5.3,1.258312115,3.216519553,1.561177294,5/25/83 12:00,,,0,0,inf,737,8215,0.53,6.1,1.7
19,5/22/83,8.278546275,5.3,0.226048083,3.060326816,0.486181871,5/25/83 12:00,,,0,0,inf,737,8215,0.53,6.1,1.7
20,5/23/83,4.62727415,5.3,0.676905436,3.148868715,0.390790313,5/25/83 12:00,,,0,0,inf,737,8215,0.53,6.1,1.7
21,5/24/83,0,0,0.444056345,3.064198324,1.455018106,5/25/83 12:00,,,0,0,inf,737,8215,0.53,6.1,1.7
22,5/25/83,0,0,-2.122722685,2.705555866,2.55690114,5/25/83 12:00,6.10,1.70,0,0,inf,737,8215,0.53,6.1,1.7
23,5/26/83,0,0,-3.707419529,2.501170391,1.597430415,6/1/83 12:00,,,0,0,inf,737,8215,0.53,6.1,1.8
24,5/27/83,0,0,-5.13741194,2.33175419,1.963342198,6/1/83 12:00,,,0,0,inf,737,8215,0.53,6.1,1.8
25,5/28/83,3.964935535,5.3,-5.283870741,2.318756983,0.416910409,6/1/83 12:00,,,0,0,inf,737,8215,0.53,6.1,1.8
26,5/29/83,0.94685427,5.3,-7.30416988,2.097527933,0.467212029,6/1/83 12:00,,,0,0,inf,737,8215,0.53,6.1,1.8
27,5/30/83,2.854605245,5.3,-8.672206222,1.969994413,1.087539277,6/1/83 12:00,,,0,0,inf,737,8215,0.53,6.1,1.8
28,5/31/83,1.123431215,5.3,-10.33544957,1.816944134,2.652967978,6/1/83 12:00,,,0,0,inf,737,8215,0.53,6.1,1.8
29,6/1/83,7.23289827,5.3,-8.126812185,2.024924581,0.593894075,6/1/83 12:00,6.10,1.80,0,0,inf,737,8215,0.53,6.1,1.8
30,6/2/83,1.463484155,5.3,-10.74039949,1.782502793,1.163094285,6/7/83 9:45,,,0,0,inf,737,8215,0.53,6,2
31,6/3/83,8.88794329,5.3,-4.898514054,2.331578212,0.300100933,6/7/83 9:45,,,0,0,inf,737,8215,0.53,6,2
32,6/4/83,0,0,-9.552521463,1.876650838,2.225038277,6/7/83 9:45,,,0,0,inf,737,8215,0.53,6,2
33,6/5/83,0,0,-12.12995059,1.67324581,2.952737524,6/7/83 9:45,,,0,0,inf,737,8215,0.53,6,2
34,6/6/83,0,0,-13.95318214,1.542067039,2.93150403,6/7/83 9:45,,,0,0,inf,737,8215,0.53,6,2
35,6/7/83,22.5,5.3,10.2470755,3.801243017,1.349281555,6/7/83 9:45,6.00,2.00,0,0,inf,737,8215,0.53,6,2
36,6/8/83,1.25,5.3,0.520990014,2.926734637,1.311523253,6/14/83 9:45,,,0,0,inf,737,8215,0.53,6.2,1.9
37,6/9/83,4.5,5.3,-3.657953764,2.509818436,1.307015145,6/14/83 9:45,,,0,0,inf,737,8215,0.53,6.2,1.9
38,6/10/83,0.5,5.3,-6.268921988,2.20200838,1.859140347,6/14/83 9:45,,,0,0,inf,737,8215,0.53,6.2,1.9
39,6/11/83,21.75,5.3,9.782324005,4.80527095,0.807763298,6/14/83 9:45,,,0,0,inf,737,8215,0.53,6.2,1.9
40,6/12/83,2.25,5.3,4.549909285,3.74852514,1.868988188,6/14/83 9:45,,,0,0,inf,737,8215,0.53,6.2,1.9
41,6/13/83,5,5.3,0.362507259,3.081796089,1.032094635,6/14/83 9:45,,,0,0,inf,737,8215,0.53,6.2,1.9
42,6/14/83,7.75,5.3,-0.236218132,2.975455307,1.863385739,6/14/83 9:45,6.20,1.90,0,0,inf,737,8215,0.53,6.2,1.9
43,6/15/83,0,0,-1.998808596,2.708899441,2.614863245,6/21/83 10:20,,,0,0,inf,737,8215,0.53,6,1.8
44,6/16/83,0.75,5.3,-3.827560117,2.489103352,0.688964218,6/21/83 10:20,,,0,0,inf,737,8215,0.53,6,1.8
45,6/17/83,0,0,-5.504294622,2.287106145,2.130197141,6/21/83 10:20,,,0,0,inf,737,8215,0.53,6,1.8
46,6/18/83,0,0,-7.349084071,2.092851955,2.972218193,6/21/83 10:20,,,0,0,inf,737,8215,0.53,6,1.8
47,6/19/83,0,0,-9.213332814,1.91627095,3.998230896,6/21/83 10:20,,,0,0,inf,737,8215,0.53,6,1.8
48,6/20/83,0,0,-10.69378152,1.78946648,2.004447765,6/21/83 10:20,,,0,0,inf,737,8215,0.53,6,1.8
49,6/21/83,0,0,-12.13304241,1.674678771,3.073739356,6/21/83 10:20,6.00,1.80,0,0,inf,737,8215,0.53,6,1.8
50,6/22/83,0,0,-13.67243946,1.5615,2.275059316,6/28/83 9:45,,,0,0,inf,737,8215,0.53,6,1.9
51,6/23/83,5,5.3,-14.74956844,1.501215084,1.424305125,6/28/83 9:45,,,0,0,inf,737,8215,0.53,6,1.9
52,6/24/83,0,0,-14.42626419,1.498675978,0.409921983,6/28/83 9:45,,,0,0,inf,737,8215,0.53,6,1.9
