hour_ended,P Cl mg/l,P water flux mm/day,Q Cl mg/l,Q water flux mm/day,ET0 mm/day,S mm
1983-05-03,1.2,0.24999999999999994,6.6,3.4047653631284915,2.010907010852358,2.407416242435838
1983-05-04,0.0,0.0,6.6,3.032748603351956,1.5775867885120192,0.115511905893843
1983-05-05,1.2,6.249999999999999,6.6,2.9540614525139666,0.5409686375239935,-0.5646801977818124
1983-05-06,1.2,11.75,6.6,3.8215810055865926,1.0142225602028077,4.410942242498235
1983-05-07,1.2,11.25,6.6,5.0646620111731835,0.6097443262113973,9.448578793048183
1983-05-08,1.2,1.25,6.6,4.551812849162013,0.9368327587024614,7.80248543389242
1983-05-09,1.2,11.83730762,6.6,5.523888268156426,1.0748619681908065,11.006507205573547
1983-05-10,1.2,8.856565244999997,6.6,6.226918994413407,0.6109527525966061,13.402925019174216
1983-05-11,9.5,9.524746360000002,,6.748290502793298,1.3140443217941469,14.432091955582724
1983-05-12,9.5,6.039389424999999,,6.048150837988827,1.331325653955176,12.627807524781787
1983-05-13,9.5,7.320131840000001,,6.891234636871508,1.2743189410897129,14.811351769121439
1983-05-14,9.5,6.891891560000001,,5.877351955307264,1.7053286411533315,12.159510341590696
1983-05-15,9.5,2.7262068050000003,,4.87586312849162,1.3737738181363512,8.965427155671287
1983-05-16,9.5,5.30081335,,4.2670055865921785,1.0751263113845095,6.506658648320113
1983-05-17,5.3,8.023416695,6.1,4.040924581005585,1.4014425106623274,5.2364660004178125
1983-05-18,5.3,0.4960068199999999,6.1,4.05258938547486,1.6221548747811614,6.047493429628335
1983-05-19,5.3,3.70008731,6.1,3.4874748603351953,1.186134018977874,2.691740440698415
1983-05-20,5.3,4.974597854999999,6.1,3.4517765363128503,1.3339481848135502,2.5888200921141533
1983-05-21,5.3,3.708572615,6.1,3.2165195530726267,1.5611772942862487,1.2583121147742335
1983-05-22,5.3,8.278546275,6.1,3.0603268156424583,0.4861818712837749,0.2260480830374979
1983-05-23,5.3,4.62727415,6.1,3.1488687150837995,0.3907903130702525,0.6769054356068146
1983-05-24,0.0,0.0,6.1,3.064198324022346,1.4550181055378533,0.4440563451352804
1983-05-25,0.0,0.0,6.1,2.705555865921787,2.55690114049185,-2.122722685257425
1983-05-26,0.0,0.0,6.1,2.5011703910614527,1.5974304149747858,-3.707419529089555
1983-05-27,0.0,0.0,6.1,2.3317541899441334,1.9633421978048613,-5.137411939971307
1983-05-28,5.3,3.964935535,6.1,2.318756983240224,0.4169104086000163,-5.283870741092768
1983-05-29,5.3,0.94685427,6.1,2.0975279329608942,0.467212028827558,-7.3041698803888035
1983-05-30,5.3,2.854605245,6.1,1.969994413407821,1.0875392771474277,-8.672206221559914
1983-05-31,5.3,1.123431215,6.1,1.8169441340782118,2.6529679783186664,-10.335449567548684
1983-06-01,5.3,7.23289827,6.1,2.0249245810055863,0.593894074972351,-8.126812184789975
1983-06-02,5.3,1.463484155,6.0,1.7825027932960895,1.1630942845261392,-10.740399486514018
1983-06-03,5.3,8.88794329,6.0,2.331578212290503,0.30010093288165235,-4.89851405442281
1983-06-04,0.0,0.0,6.0,1.8766508379888271,2.2250382769683865,-9.552521462549814
1983-06-05,0.0,0.0,6.0,1.673245810055866,2.9527375244034215,-12.129950588893713
1983-06-06,0.0,0.0,6.0,1.5420670391061453,2.931504029591848,-13.953182143603833
1983-06-07,5.3,22.5,6.0,3.801243016759777,1.3492815552442263,10.247075501095487
1983-06-08,5.3,1.25,6.2,2.926734636871508,1.311523252967718,0.5209900136850617
1983-06-09,5.3,4.5,6.2,2.5098184357541897,1.307015144614979,-3.657953764069609
1983-06-10,5.3,0.4999999999999999,6.2,2.202008379888268,1.8591403474854744,-6.268921988268702
1983-06-11,5.3,21.75,6.2,4.805270949720672,0.8077632983167403,9.782324004734367
1983-06-12,5.3,2.25,6.2,3.7485251396648036,1.868988187805368,4.549909285121852
1983-06-13,5.3,5.0,6.2,3.081796089385474,1.0320946347754838,0.362507259009726
1983-06-14,5.3,7.749999999999999,6.2,2.9754553072625702,1.8633857389634363,-0.23621813214798104
1983-06-15,0.0,0.0,6.0,2.7088994413407823,2.6148632450406195,-1.998808596393868
1983-06-16,5.3,0.7499999999999998,6.0,2.4891033519553067,0.6889642177025421,-3.827560116557482
1983-06-17,0.0,0.0,6.0,2.2871061452513968,2.13019714061101,-5.504294621572663
1983-06-18,0.0,0.0,6.0,2.092851955307262,2.972218193067035,-7.349084071497608
1983-06-19,0.0,0.0,6.0,1.9162709497206696,3.998230895893221,-9.213332814495976
1983-06-20,0.0,0.0,6.0,1.789466480446927,2.0044477654818933,-10.693781515447212
1983-06-21,0.0,0.0,6.0,1.6746787709497206,3.0737393561270787,-12.133042412883643
1983-06-22,0.0,0.0,6.0,1.5615,2.275059316272282,-13.67243945927259
1983-06-23,5.3,5.0,6.0,1.5012150837988831,1.4243051248885406,-14.749568437860086
1983-06-24,0.0,0.0,6.0,1.4986759776536316,0.4099219828447292,-14.426264192414052
1983-06-25,5.3,0.4999999999999999,6.0,1.3726759776536313,1.131823713421018,-16.576396298005776
1983-06-26,5.3,0.7499999999999998,6.0,1.2960000000000005,0.7641568649684536,-17.915075372795886
1983-06-27,0.0,0.0,6.0,1.2128882681564246,1.3353083881152126,-19.40652063542966
1983-06-28,5.3,0.24999999999999994,6.0,1.144055865921788,1.467689619918409,-20.818916285401414
1983-06-29,5.3,16.25,5.8,1.5666284916201114,0.9121703076094536,-13.909146807707918
1983-06-30,5.3,4.25,5.8,2.1308882681564247,1.6968226806601756,-6.737333455212299
1983-07-01,5.3,7.250000000000001,5.8,1.3885893854748603,1.7084812265122309,-16.140128658028146
1983-07-02,5.3,16.5,5.8,4.339458100558659,3.0152820054804907,9.601784424476714
1983-07-03,0.0,0.0,5.8,1.810055865921789,3.518524093771859,-10.21127030082615
1983-07-04,0.0,0.0,5.8,1.4741899441340791,4.176477618518506,-14.85542648929628
1983-07-05,0.0,0.0,5.8,1.3414525139664804,4.302700885799808,-17.05819990451668
1983-07-06,0.0,0.0,6.0,1.2650279329608936,2.477963104890044,-18.51043673116152
1983-07-07,0.0,0.0,6.0,1.2217877094972065,2.3089539915637465,-19.23200495658182
1983-07-08,0.0,0.0,6.0,1.1634636871508384,2.998614972227952,-20.463112549408372
1983-07-09,0.0,0.0,6.0,1.1343016759776536,2.817828229488049,-21.054074783646172
1983-07-10,0.0,0.0,6.0,1.1242458100558663,2.6907434785249,-21.176815995633174
1983-07-11,5.3,2.285379775,6.0,1.039776536312849,2.2101706964378725,-23.035813800122824
1983-07-12,0.0,0.0,6.0,0.9663687150837984,3.667033340985253,-24.91562505247468
1983-07-13,0.0,0.0,6.0,0.9251396648044696,4.560663786269783,-25.853465091620738
1983-07-14,0.0,0.0,6.2,0.8688268156424583,3.9480871935114017,-27.542663220405327
1983-07-15,0.0,0.0,6.2,0.8688268156424583,4.137835849094137,-27.542663220405327
1983-07-16,5.3,0.4999999999999999,6.2,0.8688268156424583,2.9753248194049537,-27.542663220405327
1983-07-17,5.3,0.7701588249999999,6.2,0.8688268156424583,2.697129018601782,-27.542663220405327
1983-07-18,5.3,4.682046435,6.2,1.0676564245810056,1.9220909758132547,-21.807206755661355
1983-07-19,0.0,0.0,6.2,0.8709385474860334,2.9210782531170394,-27.3063681804466
1983-07-20,0.0,0.0,6.4,0.7814916201117319,2.674348001467964,-30.14943896135967
1983-07-21,0.0,0.0,6.4,0.6942569832402234,3.9474146525745866,-32.847514128583626
1983-07-22,0.0,0.0,6.4,0.5970418994413407,1.3549620032549567,-37.212314766072886
1983-07-23,0.0,0.0,6.4,0.5832653631284919,1.4907764389534257,-37.871372306262884
1983-07-24,0.0,0.0,6.4,0.5615446927374301,0.8465579173188753,-38.862813341347376
1983-07-25,0.0,0.0,6.4,0.5359776536312849,2.683699609828393,-40.11020312441693
1983-07-26,0.0,0.0,6.4,0.5087011173184358,2.8097546030196385,-41.58011646581844
1983-07-27,0.0,0.0,6.4,0.4863519553072624,2.760462018508172,-42.84844567635332
1983-07-28,0.0,0.0,6.4,0.468804469273743,3.075443375839885,-43.895025238272225
1983-07-29,0.0,0.0,6.4,0.4502262569832404,3.921817190030847,-44.988562360773756
1983-07-30,0.0,0.0,6.4,0.4405223463687151,3.2323036097323503,-45.657152664656884
1983-07-31,5.3,10.722841525,6.4,0.5827122905027933,1.0726529853125517,-37.00853584976429
1983-08-01,5.3,2.5,6.4,0.5698659217877096,1.402535453470008,-38.218949789978154
1983-08-02,5.3,10.0,6.5,0.7815921787709497,1.4638219495788052,-29.534917466815624
1983-08-03,0.0,0.0,6.5,0.5636815642458101,2.8691708909814366,-38.496449921585175
1983-08-04,5.3,0.7499999999999998,6.5,0.5190335195530725,0.9940091639322957,-41.078562118434576
1983-08-05,5.3,0.7499999999999998,6.5,0.4878351955307262,2.994325445026916,-42.67564294121803
1983-08-06,0.0,0.0,6.4,0.4555558659217876,3.1378968031774006,-44.660757885763566
1983-08-07,0.0,0.0,6.4,0.4387877094972068,2.478005958239982,-45.776999115656025
1983-08-08,0.0,0.0,6.4,0.4364245810055867,1.7617026982676953,-45.94770891880912
1983-08-09,0.0,0.0,6.4,0.42151675977653613,2.5110953285105153,-46.91797361773711
1983-08-10,0.0,0.0,6.1,0.4137737430167597,2.581873228449884,-47.480629060479394
1983-08-11,0.0,0.0,6.1,0.4043966480446928,3.2233910682576044,-48.14032791999534
1983-08-12,0.0,0.0,6.1,0.39949441340782144,2.202504001775004,-48.50518816512442
1983-08-13,0.0,0.0,6.1,0.38780446927374296,3.4003073970529227,-49.34133382746779
1983-08-14,0.0,0.0,6.1,0.3801871508379888,3.41717452622088,-49.929381613340425
1983-08-15,0.0,0.0,6.1,0.3781005586592177,1.8446169922204017,-50.11197253575604
1983-08-16,5.3,56.50166788000001,6.1,1.4772821229050281,0.5439039469456752,-5.3395791107793205
1983-08-17,5.3,10.594609125,6.4,1.8168938547486029,1.2734077619061597,-8.94390968674199
1983-08-18,0.0,0.0,6.4,0.825335195530726,2.5295700993511603,-28.14597646263289
1983-08-19,5.3,0.133844945,6.4,0.6366620111731844,3.0739950080349745,-35.32615990279419
1983-08-20,5.3,4.921553659999999,6.4,0.6249469273743017,1.3073788791438046,-36.025747087133354
1983-08-21,5.3,1.95830789,6.4,0.5872122905027932,0.9731847636892056,-37.6647806208281
1983-08-22,0.0,0.0,6.4,0.5465363128491619,2.202780945611532,-39.566647183357844
1983-08-23,5.3,4.681429415,6.4,0.5431424581005587,0.6481376457246191,-39.88867035949788
1983-08-24,5.3,0.3850794099999999,6.8,0.5325335195530725,0.3825188572742904,-40.2964009528171
1983-08-25,0.0,0.0,6.8,0.4847932960893855,1.773404458354235,-42.754197974795424
