hour_ended,P Cl mg/l,P water flux mm/day,Q Cl mg/l,Q water flux mm/day,ET0 mm/day,S mm,P Mg mg/l,Q Mg mg/l
5/3/1983,1.2,0.25,6.6,3.404765363,2.010907011,2.407416242,0.04,0.76
5/4/1983,0,0,6.6,3.032748603,1.577586789,0.115511906,0,0.76
5/5/1983,1.2,6.25,6.6,2.954061453,0.540968638,-0.564680198,0.04,0.76
5/6/1983,1.2,11.75,6.6,3.821581006,1.01422256,4.410942242,0.04,0.76
5/7/1983,1.2,11.25,6.6,5.064662011,0.609744326,9.448578793,0.04,0.76
5/8/1983,1.2,1.25,6.6,4.551812849,0.936832759,7.802485434,0.04,0.76
5/9/1983,1.2,11.83730762,6.6,5.523888268,1.074861968,11.00650721,0.04,0.76
5/10/1983,1.2,8.856565245,6.6,6.226918994,0.610952753,13.40292502,0.04,0.76
5/11/1983,9.5,9.52474636,,6.748290503,1.314044322,14.43209196,0.5,0.71
5/12/1983,9.5,6.039389425,,6.048150838,1.331325654,12.62780752,0.5,0.71
5/13/1983,9.5,7.32013184,,6.891234637,1.274318941,14.81135177,0.5,0.71
5/14/1983,9.5,6.89189156,,5.877351955,1.705328641,12.15951034,0.5,0.71
5/15/1983,9.5,2.726206805,,4.875863128,1.373773818,8.965427156,0.5,0.71
5/16/1983,9.5,5.30081335,,4.267005587,1.075126311,6.506658648,0.5,0.71
5/17/1983,5.3,8.023416695,6.1,4.040924581,1.401442511,5.236466,0.34,0.76
5/18/1983,5.3,0.49600682,6.1,4.052589385,1.622154875,6.04749343,0.34,0.76
5/19/1983,5.3,3.70008731,6.1,3.48747486,1.186134019,2.691740441,0.34,0.76
5/20/1983,5.3,4.974597855,6.1,3.451776536,1.333948185,2.588820092,0.34,0.76
5/21/1983,5.3,3.708572615,6.1,3.216519553,1.561177294,1.258312115,0.34,0.76
5/22/1983,5.3,8.278546275,6.1,3.060326816,0.486181871,0.226048083,0.34,0.76
5/23/1983,5.3,4.62727415,6.1,3.148868715,0.390790313,0.676905436,0.34,0.76
5/24/1983,0,0,6.1,3.064198324,1.455018106,0.444056345,0,0.76
